id,hs_all_accessible_team_ids,hs_all_assigned_business_unit_ids,hs_all_owner_ids,hs_all_team_ids,hs_at_mentioned_owner_ids,hs_attachment_ids,hs_body_preview,hs_body_preview_html,hs_body_preview_is_truncated,hs_communication_body,hs_communication_channel_type,hs_communication_conversation_associations_synced_at,hs_communication_conversation_object_id,hs_communication_conversations_channel_ids,hs_communication_conversations_channel_instance_ids,hs_communication_conversations_first_message_at,hs_communication_conversations_thread_id,hs_communication_logged_from,hs_created_by,hs_created_by_user_id,hs_createdate,hs_engagement_source,hs_engagement_source_id,hs_engagements_last_contacted,hs_gdpr_deleted,hs_lastmodifieddate,hs_merged_object_ids,hs_modified_by,hs_obj_coords,hs_object_id,hs_object_source,hs_object_source_detail_1,hs_object_source_detail_2,hs_object_source_detail_3,hs_object_source_id,hs_object_source_label,hs_object_source_user_id,hs_owning_teams,hs_read_only,hs_shared_team_ids,hs_shared_user_ids,hs_timestamp,hs_unique_creation_key,hs_unique_id,hs_updated_by_user_id,hs_user_ids_of_all_notification_followers,hs_user_ids_of_all_notification_unfollowers,hs_user_ids_of_all_owners,hs_was_imported,hubspot_owner_assigneddate,hubspot_owner_id,hubspot_team_id
53339236933,,,171746480,,,,Text to confirm DV,"<html>
 <head></head>
 <body>
 Text to confirm DV
 </body>
</html>",false,Text to confirm DV,SMS,,,,,,,CRM,65158525,65158525,2024-05-25T22:31:23.636Z,MOBILE_IOS,,2024-05-25T22:30:55.874Z,,2024-05-25T22:31:23.636Z,,65158525,,53339236933,MOBILE_IOS,,,,userId:65158525,MOBILE_IOS,65158525,,,,,2024-05-25T22:30:55.874Z,,,65158525,,,65158525,,2024-05-25T22:31:23.636Z,171746480,
54464192349,,,171746480,,,,Text sent for cell number exchange,"<html>
 <head></head>
 <body>
 Text sent for cell number exchange
 </body>
</html>",false,Text sent for cell number exchange ,SMS,,,,,,,CRM,65158525,65158525,2024-06-14T15:03:52.395Z,MOBILE_IOS,,2024-06-14T15:03:36.289Z,,2024-06-14T15:03:52.395Z,,65158525,,54464192349,MOBILE_IOS,,,,userId:65158525,MOBILE_IOS,65158525,,,,,2024-06-14T15:03:36.289Z,,,65158525,,,65158525,,2024-06-14T15:03:52.395Z,171746480,
56236413867,,,171746480,,,,How to enter for DV text sent,"<html>
 <head></head>
 <body>
 How to enter for DV text sent
 </body>
</html>",false,How to enter for DV text sent,SMS,,,,,,,CRM,65158525,65158525,2024-07-13T13:41:38.561Z,MOBILE_IOS,,2024-07-13T13:41:20.625Z,,2024-07-13T13:41:38.561Z,,65158525,,56236413867,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-07-13T13:41:20.625Z,,,65158525,,,65158525,,2024-07-13T13:41:38.561Z,171746480,
59347607968,,,171746480,,,,Offering an appointment for Sunday,"<html>
 <head></head>
 <body>
 Offering an appointment for Sunday
 </body>
</html>",false,Offering an appointment for Sunday,SMS,,,,,,,CRM,65158525,65158525,2024-08-31T14:59:07.036Z,MOBILE_IOS,,2024-08-31T14:58:53.112Z,,2024-08-31T14:59:07.036Z,,65158525,,59347607968,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-08-31T14:58:53.112Z,,,65158525,,,65158525,,2024-08-31T14:59:07.036Z,171746480,
59380141238,,,171746480,,,,Short message to remind them to use the buzzer at the gate,"<html>
 <head></head>
 <body>
 Short message to remind them to use the buzzer at the gate
 </body>
</html>",false,Short message to remind them to use the buzzer at the gate,SMS,,,,,,,CRM,65158525,65158525,2024-09-01T17:47:23.615Z,MOBILE_IOS,,2024-09-01T17:47:04.706Z,,2024-09-01T17:47:23.615Z,,65158525,,59380141238,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-09-01T17:47:04.706Z,,,65158525,,,65158525,,2024-09-01T17:47:23.615Z,171746480,
59908916530,,,171746480,,,,Confirmed appointment,"<html>
 <head></head>
 <body>
 Confirmed appointment
 </body>
</html>",false,Confirmed appointment,SMS,,,,,,,CRM,65158525,65158525,2024-09-09T17:12:00.218Z,MOBILE_IOS,,2024-09-09T17:11:47.945Z,,2024-09-09T17:12:00.218Z,,65158525,,59908916530,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-09-09T17:11:47.945Z,,,65158525,,,65158525,,2024-09-09T17:12:00.218Z,171746480,
61022457770,,,171746480,,,,Text for arrival,"<html>
 <head></head>
 <body>
 Text for arrival
 </body>
</html>",false,Text for arrival,SMS,,,,,,,CRM,65158525,65158525,2024-09-25T12:48:15.919Z,MOBILE_IOS,,2024-09-25T12:48:07.564Z,,2024-09-25T12:48:15.919Z,,65158525,,61022457770,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-09-25T12:48:07.564Z,,,65158525,,,65158525,,2024-09-25T12:48:15.919Z,171746480,
62265633691,,,171746480,,,,Appointment text,"<html>
 <head></head>
 <body>
 Appointment text
 </body>
</html>",false,Appointment text,SMS,,,,,,,CRM,65158525,65158525,2024-10-14T13:37:48.550Z,MOBILE_IOS,,2024-10-14T13:37:39.041Z,,2024-10-14T13:37:48.550Z,,65158525,,62265633691,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-10-14T13:37:39.041Z,,,65158525,,,65158525,,2024-10-14T13:37:48.550Z,171746480,
63445713327,,,171746480,,,,Sent text about open lot,"<html>
 <head></head>
 <body>
 Sent text about open lot
 </body>
</html>",false,Sent text about open lot ,SMS,,,,,,,CRM,65158525,65158525,2024-10-29T15:41:52.053Z,MOBILE_IOS,,2024-10-29T15:41:41.804Z,,2024-10-29T15:41:52.053Z,,65158525,,63445713327,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-10-29T15:41:41.804Z,,,65158525,,,65158525,,2024-10-29T15:41:52.053Z,171746480,
67849957455,,,171746480,,,,Text to let them know I sent an email,"<html>
 <head></head>
 <body>
 Text to let them know I sent an email
 </body>
</html>",false,Text to let them know I sent an email ,SMS,,,,,,,CRM,65158525,65158525,2024-12-30T20:20:27.544Z,MOBILE_IOS,,2024-12-30T20:20:15.355Z,,2024-12-30T20:20:28.796Z,,65158525,,67849957455,MOBILE_IOS,,,,,MOBILE_IOS,65158525,,,,,2024-12-30T20:20:15.355Z,,,65158525,,,65158525,,2024-12-30T20:20:27.544Z,171746480,
